Gamers:,,,,farley3k,troubleshot,Clusks,Tanglebones,Aaron D.,BlackSabre,cheeba,walterqchocobo,doubtingthomas396,Zoso1701,Maq,Mr GT Chris,TheGameguru,Infyrnos,Farscry,WizardM0de,b12n11w00t,Mantid,plavonica,Garrcia,cube,MilkmanDanimal,Jonman,muraii,pyxistyx,PandaEskimo,CptDomano,JohnKillo,conejote,Taylor Wayne,dejanzie,Higgledy,krev82,Stengah,Dryden,Demyx,Mex,scrub,Vrikk,Granath,Cobble,PurEvil,DSGamer,ChrisLTD,Nevin73,zeroKFE,Glycerine,carrotpanic,TempestBlayze,UpToIsomorphism,tboon,ClockworkHouse,Squee9,Tscott,Running Man,Hyetal,BadKen,iaintgotnopants,IHateDRM,AcidCat,SocialChameleon,Malor,Aristophan,Carlbear95,ThingumBob,Evo,Roo,kyrieee,Jake2034,billt721,TheHarpoMarxist,Bnice,MrDeVil909,Shadout,Jayhawker,chooka1,Latrine,EverythingsTentative,sometimesdee,mateofalcone,kuddles,philucifer,bombsfall,mrtomaytohead,cheeze_pavilion,Kosars,Duoae,Eleima,nel e nel,Vector,kergguz,Fastmav347,Luggage,Budo,Slumberland,schutter31,ccesarano,Deadmonkeys,tuffalobuffalo,Dyni,Alien Love Gardener,4dSwissCheese,Mermaidpirate,danopian,Fedaykin98,badchicken,Minarchist,Ego Man,MeatMan,shoptroll,garion333,cyrax,Le0hart85,Spikeout,OzymandiasAV,RnRClown,clever id,Gunner,Blind_Evil,RooksGambit,groovebeat,TrashiDawa,demonbox,jdzappa,Cathadan,Gravey
Title,Weighted Score,Total Votes,#1 Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravely Default,69,12,1,,,4,,,,,,,3,,,,,9,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,6,,,,,,,,,,,10,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridge, The",2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BroForce,7,1,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Age,18,4,0,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
Brooklyn Trash King,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers: A Tale of Two Sons,59,8,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletstorm,21,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bureau, XCOM Declassified, The",3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of Duty: Advanced Warfare,9,2,0,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Call of Juarez: Gunslinger,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
