Rank,Title,Score,Total Votes,#1 Votes,Average Score
432,Guacamelee!,1,1,0,1
433,Ironcast,1,1,0,1
434,The Curious Expedition,1,1,0,1
435,Age of Wonders III,1,1,0,1
436,Castlevania: Lords of Shadow 2,1,1,0,1
437,Neon Struct,1,1,0,1
438,The Bridge,1,1,0,1
439,Steven Universe: Attack The Light,1,1,0,1
440,Game & Wario,1,1,0,1
441,Sniper Elite V2,1,1,0,1
